Name,Status,Last,Series,URL,URL_yd,Описание
"Вперёд, Кальмар!",Просмотрено,41,41,https://doramatv.live/vpered__kalmar_,,"Тун Нянь - 19-летняя студентка-отличница с высоким IQ, но низким эмоциональным интеллектом EQ, которая также известна в мире аниме-косплея и хорошо поёт. Она влюбляется с первого взгляда в Хань Шан Яня, который является гениальным игроком в мире киберспорта и никогда не обращает внимания на девушек. Он человек с высоким чувством ответственности и хочет только, чтобы команда Китая стала чемпионом мира."
Мой сосед – детектив,В планах,36,0,https://doramatv.live/moi_sosed___detektiv,,"1924 год, Шанхай. Гений дедукции Лу Яо объединяется с детективом Цяо Чушэнем и газетным репортером Бай Юнин для раскрытия загадочных уголовных дел."
Подружка,В планах,36,0,https://doramatv.live/podrujka,,"Вэнь Сяоюань всячески пытается заработать денег, чтобы поддержать маленькую театральную труппу в своём родном городе. По воле судьбы она была нанята для того, чтобы сыграть тайную любовь генерального директора ""Anning Culture"", Е Фэймо. Чем же закончится эта история?"
Быть с тобой,Просмотрено,24,24,https://doramatv.live/byt_s_toboi,,"Молодая художница-мультипликатор намеренно сближается с холодным и высокомерным профессором Цзи Яньсинем. Ци Нянь, девушка с прямолинейным характером, надеется, что общение с ним даст ей вдохновение для сюжета ее комикса. Младший брат Цзи Яньсиня, Цзи Сыци, случайно становится помощником Ци Нянь в этом нелегком деле."
Любовь со временем,Просмотрено,24,24,https://doramatv.live/liubov_so_vremenem,,"Они ненавидели друг друга ещё со школы. Но судьба распорядилась так, что эти двое женились по расчёту. Она – неизвестный писатель, чья семья находится в затруднительном положении. Он – гуру инвестиций. Они совершенно разные, но вынуждены жить вместе как женатая пара. Получится ли у них?"
Моя единорожка,Просмотрено,24,24,https://doramatv.live/moia_edinorojka,,"В 18 лет Сан Тянь изъявила желание поступить в школу своей матери, чтобы стать частью китайской команды фигурного катания. Однако она не прошла рейтинговый тест, а как-то замаскировалась под парня и была принята в хоккейную команду. Не имея выбора, она приняла новую личность. Однако ее план был сорван внезапным появлением Вэнь Бина.
Вэнь Бин и Сан Тянь становятся соседями по комнате. После одной встречи два бывших ""заклятых врага"" внезапно становятся хорошими друзьями. Оба они решили работать вместе со своими товарищами по команде и сделать все возможное в чемпионате. Однако тайна Сан Тянь в конечном итоге была раскрыта. Несмотря на это, она все еще получает шанс стать членом первой женской хоккейной команды. Сан Тянь, наконец, может стать реальной девушкой и продолжать преследовать свою мечту."
Сладкая первая любовь,Просмотрено,24,24,https://doramatv.live/sladkaia_pervaia_liubov,,"Чжуо Фэн потеряла родителей в автомобильной аварии в возрасте семи лет, что привело к потере памяти. Её взял к себе лучший друг родителей, Су Цзи Цзе. Там она встречает его сына Су Му Юня, который во всем хорош, но обладает ядовитым языком."
Твой сладкий голос,Просмотрено,24,24,https://doramatv.live/tvoi_sladkii_golos,,"Ся Сяонин - обычная девушка. Она не особенно красива и не очень образованна. По счастливой случайности Сяонин, начинающая актриса озвучивания, получает работу ассистентки Гу Чэньюя. У Гу Чэньюя есть секрет, который никто не знает. На самом деле он один из лучших в индустрии дубляжа. Поскольку Ся Сяонин и Гу Чэньюй не равны, их взаимодействие полно махинаций. Как раз в тот момент, когда Ся Сяонян пытается закрепиться на рабочем месте, она пересекается с Се Фэем, после случая, когда она помогла ему прогнать собаку. Вскоре после этого властный генеральный директор Се Фэй также начинает ухаживать за Ся Сяонин. Тем временем Ся Сяонин и Гу Чэньюй отложили свои разногласия. Кого она выберет из двух влюбленных в неё мужчин?"
Влюбиться в твою улыбку,Смотрю,23,31,https://doramatv.live/vliubitsia_v_tvoiu_ulybku,,"История развития отношений двух профессиональных геймеров.
Девушка, играющая в киберспорте, клянется никогда не вступать в отношения с кем-то в той же области, чем привлекает внимание капитана элитной команды после того, как попадет в его команду.
Студентка Тун Яо стремительно вошла в профессиональный круг киберспорта, став первой официальной киберспортсменкой в профессиональной лиге Китая. Столкнувшись с сомнениями в ее профессионализме, ей приходится преодолевать трудности с настойчивостью и поддержкой своих товарищей по команде, чтобы, наконец, встать на мировую арену, прервать шестилетнюю серию поражений команды китайской Лиги и реализовать свою мечту."
Ты моя судьба (китайская версия),Не досмотрено,20,36,https://doramatv.live/ty_moia_sudba__kitaiskaia_versiia_,,"Чэнь Цзя Синь (Лян Цзе), скромный ассистент, и Ван Си И (Син Чжао Лин), наследник конгломерата, впервые встретились на круизном корабле. Невеста Си И, Анна, оставила его ради карьеры, а парень Цзя Синь изменил ей в первый же день путешествия. Напившись с горя, они проводят вместе ночь. Когда выясняется, что Цзя Синь беременна, бабушка Ван Си И заставляет его жениться, несмотря на то, что он всё ещё любит Анну."
